fixture_id,Fixture,Category,Cat_Priority,Monte_GG_Prob,NGG_Risk,Base_Marks,DNA_Status,Psych_Score,Psych_Triggers,VIP_Status,Veto_Status,Spears
19692703,São Paulo vs Boston River,🌌 CATEGORY 1: TOTAL CONVERGENCE,1,85.66,14.34,5/6,✅ ADVANTAGE,65,🛑 Massacre Trap (Gap: 42%) | 🔨 Mutual Glass Jaw | 🔓 Clean Sheet Virgins | ⏱...,-,Clear,H:50.0% | A:50.0%
19705052,Saint-Étienne vs Nice,💎 CATEGORY 2: SUPREME AGREEMENT,2,26.56,73.44,0/6,Neutral,65,💎 GG HOLY GRAIL (UD Spear 85.67%) | ⏱️ Early Exchange Vulnerability | 🎯 Fir...,-,Clear,H:50.0% | A:50.0%
19692702,Millonarios vs O'Higgins,🔥 CATEGORY 3: SOLID MATH,3,71.06,28.94,4/6,✅ ADVANTAGE,N/A,N/A,-,Clear,H:50.0% | A:50.0%
19693447,Lanús vs Mirassol,🚨 CATEGORY 4: THE VETO BOARD,4,35.08,64.92,3/6,✅ ADVANTAGE,-10,🚨 Toothless Dog (Can't shoot) | ⏱️ Early Exchange Vulnerability,-,🛑 VETOED,H:50.0% | A:50.0%
19701367,Nigeria vs Zimbabwe,🚨 CATEGORY 4: THE VETO BOARD,4,34.24,65.76,3/6,✅ ADVANTAGE,-25,🛑 Massacre Trap (Gap: 47%) | 🚨 Toothless Dog (Can't shoot) | ⏱️ Early Excha...,-,🛑 VETOED,H:50.0% | A:50.0%
19693448,LDU Quito vs Always Ready,🚨 CATEGORY 4: THE VETO BOARD,4,31.4,68.6,3/6,Neutral,-10,🚨 Toothless Dog (Can't shoot) | ⏱️ Early Exchange Vulnerability,-,🛑 VETOED,H:50.0% | A:50.0%
19664106,Aucas vs Manta,🚨 CATEGORY 4: THE VETO BOARD,4,25.22,74.78,2/6,Neutral,-10,🚨 Toothless Dog (Can't shoot) | ⏱️ Early Exchange Vulnerability,💎 VIP,🛑 VETOED,H:50.0% | A:50.0%
19665111,Corinthians W vs Mixto W,🚨 CATEGORY 4: THE VETO BOARD,4,22.36,77.64,2/6,✅ ADVANTAGE,-40,🛑 Massacre Trap (Gap: 60%) | 🚨 Toothless Dog (Can't shoot) | ⏱️ Early Excha...,-,🛑 VETOED,H:50.0% | A:50.0%
19708446,Morocco vs Burundi,🚨 CATEGORY 4: THE VETO BOARD,4,18.52,81.48,2/6,✅ ADVANTAGE,-85,🛑 Massacre Trap (Gap: 50%) | 🧱 Lone Brick Wall (Elite Defense) | 🚨 Toothles...,-,🛑 VETOED,H:50.0% | A:50.0%
19692697,Grêmio vs Montevideo City Torque,📊 CATEGORY 5: BASE PLAYABLE,5,74.68,25.32,5/6,Neutral,N/A,N/A,-,Clear,H:50.0% | A:50.0%
19692696,Palestino vs Deportivo Riestra,📊 CATEGORY 5: BASE PLAYABLE,5,57.76,42.24,3/6,Neutral,N/A,N/A,-,Clear,H:50.0% | A:50.0%
