fixture_id,Fixture,Target,Category,Cat_Priority,Monte_Win_Prob,Monte_Draw_Prob,Underdog_Risk,Psych_Score,Psych_Logic,Chokehold_Status,Veto_Reason
19665111,Corinthians W vs Mixto W,Corinthians W,🌌 CATEGORY 1: TOTAL CONVERGENCE,1,79.58,12.84,✅ NORMAL,110,🏰 Fortress (+15) | ⚡ 1H Killer (+15) | 🩸 Wounded (+15) | ⏱️ Early Kill (+10) | 🔥...,🛑 OPPONENT CHOKED,N/A
19701367,Nigeria vs Zimbabwe,Nigeria,💎 CATEGORY 2: SUPREME AGREEMENT,2,69.12,16.46,✅ NORMAL,150,🎯 Clinical (+15) | 🏰 Fortress (+15) | ⚡ 1H Killer (+15) | ⏱️ Early Kill (+10) | ...,Clear,N/A
19708446,Morocco vs Burundi,Morocco,💎 CATEGORY 2: SUPREME AGREEMENT,2,66.72,18.1,✅ NORMAL,120,🎯 Clinical (+15) | ⚡ 1H Killer (+15) | ⏱️ Early Kill (+10) | 🔥 Elite Scorer 75.8...,Clear,N/A
19664106,Aucas vs Manta,Aucas,💎 CATEGORY 2: SUPREME AGREEMENT,2,61.46,20.18,✅ NORMAL,125,🎯 Clinical (+15) | 🏰 Fortress (+15) | ⚡ 1H Killer (+15) | 🩸 Wounded (+15) | ⏱️ E...,Clear,N/A
19693448,LDU Quito vs Always Ready,LDU Quito,💎 CATEGORY 2: SUPREME AGREEMENT,2,59.34,20.04,⚠️ RISKY,90,🏰 Fortress (+15) | ⚡ 1H Killer (+15) | ⏱️ Early Kill (+10) | 🔥 Elite Scorer 76.4...,Clear,N/A
19692696,Palestino vs Deportivo Riestra,Palestino,💎 CATEGORY 2: SUPREME AGREEMENT,2,40.46,24.92,⚠️ RISKY,60,🎯 Clinical (+15) | ⚔️ Active Scorer 55.89% (+5) | ⚔️ Superior Spear Power (+20) ...,Clear,N/A
19705052,Saint-Étienne vs Nice,Nice,🚨 CATEGORY 3: THE VETO BOARD,3,34.98,26.38,🛑 PSYCH VETO,N/A,N/A,Clear,🛑 CAUTION: TRAP (Code 1 Pick Avoided)
19693447,Lanús vs Mirassol,Mirassol,🚨 CATEGORY 3: THE VETO BOARD,3,34.24,26.7,🛑 PSYCH VETO,N/A,N/A,Clear,🛑 CAUTION: TRAP (Code 1 Pick Avoided)
19692697,Grêmio vs Montevideo City Torque,Montevideo City Torque,🚨 CATEGORY 3: THE VETO BOARD,3,30.48,27.04,🛑 PSYCH VETO,N/A,N/A,Clear,🚨 OVERTURNED (Psych Prefers Grêmio)
19692702,Millonarios vs O'Higgins,O'Higgins,🚨 CATEGORY 3: THE VETO BOARD,3,28.44,27.2,🛑 PSYCH VETO,N/A,N/A,Clear,🛑 CAUTION: TRAP (Code 1 Pick Avoided)
19692703,São Paulo vs Boston River,São Paulo,📊 CATEGORY 5: BASE PLAYABLE,5,45.26,25.94,✅ NORMAL,90,🩸 Wounded (+15) | 🔥 Elite Scorer 88.16% (+15) | ⚔️ Superior Spear Power (+20) | ...,Clear,N/A
