Fixture,Underdog,Audit_Verdict,Spear_Matchup,Dog_Venue_SOT,Fav_Venue_SOT,Dog_H2H_SOT,Fav_H2H_SOT,Dog_Opp_Avg_Conceded,Fav_Opp_Avg_Conceded,Dog_Scoring_Consistency,Psych_Score,Tier,Triggers
Millonarios vs O'Higgins,O'Higgins,🔥 ELITE SCORER,Dog: 77.1% | Fav: 78.89%,15.0,17.0,6.0,3.0,2.13,1.93,100.0% (3/3),VETOED,❌ VETOED,❌ GATE 2 FAIL: Fav venue avg conceded 0.0 < 0.5 — elite defensive wall at this venue
Lanús vs Mirassol,Mirassol,⚔️ ACTIVE,Dog: 58.09% | Fav: 31.97%,8.0,17.0,3.0,2.0,1.4,1.47,66.7% (2/3),VETOED,❌ VETOED,❌ GATE 2 FAIL: Fav venue avg conceded 0.0 < 0.5 — elite defensive wall at this venue
LDU Quito vs Always Ready,Always Ready,⚔️ ACTIVE,Dog: 54.18% | Fav: 76.41%,5.0,12.0,5.0,2.0,1.27,1.27,33.3% (1/3),VETOED,❌ VETOED,❌ GATE 1 FAIL: Dog venue avg SOT 1.67 < 2.5 — toothless at this venue
Aucas vs Manta,Manta,⚔️ ACTIVE,Dog: 48.47% | Fav: 65.33%,10.0,20.0,2.0,5.0,1.4,1.4,33.3% (1/3),VETOED,❌ VETOED,❌ GATE 2 FAIL: Fav venue avg conceded 0.33 < 0.5 — elite defensive wall at this venue
São Paulo vs Boston River,Boston River,⚔️ ACTIVE,Dog: 46.32% | Fav: 88.16%,5.0,15.0,1.0,4.0,0.93,1.33,33.3% (1/3),VETOED,❌ VETOED,❌ GATE 1 FAIL: Dog venue avg SOT 1.67 < 2.5 — toothless at this venue
Nigeria vs Zimbabwe,Zimbabwe,⚔️ ACTIVE,Dog: 45.84% | Fav: 92.57%,7.0,25.0,3.0,6.0,1.2,1.35,100.0% (3/3),VETOED,❌ VETOED,❌ GATE 1 FAIL: Dog venue avg SOT 2.33 < 2.5 — toothless at this venue
Morocco vs Burundi,Burundi,⚠️ LOW THREAT,Dog: 25.64% | Fav: 75.88%,0.0,11.0,2.0,6.0,4.0,0.93,100.0% (1/1),VETOED,❌ VETOED,❌ GATE 1 FAIL: Dog venue avg SOT 0.0 < 2.5 — toothless at this venue
Saint-Étienne vs Nice,Nice,🔥 ELITE SCORER,Dog: 85.67% | Fav: 86.76%,14.0,19.0,6.0,5.0,1.2,1.8,100.0% (3/3),45,🔥 PLAY (Solid Ambush),📊 A1 VENUE SOT LOSS: Fav (19.0) > Dog (14.0) across last 3 venue matches (-15) | ⚖️  A2 OPP STRENGTH: Fav faced weaker opponents (Fav opp conceded avg: 1.8 > Dog opp: 1.2) → Dog SOT validated vs tougher teams (+15) | 🏹 A3 CONSISTENCY BONUS: Dog scored in all 3/3 venue matches (100%) (+15) | 🤝 B2 H2H SOT WIN: Dog (6.0) > Fav (5.0) in last H2H (+10) | 🩸 B3 WOUNDED BOUNCE: Dog lost last venue match but venue avg SOT 4.67 — angry and dangerous (+10) | 🏃 B4 VENUE TRACK MEET: Combined venue avg goals 3.33 > 2.5 — open game expected (+10)
Grêmio vs Montevideo City Torque,Montevideo City Torque,⚔️ ACTIVE,Dog: 60.97% | Fav: 71.61%,10.0,12.0,3.0,2.0,1.27,1.27,100.0% (3/3),28,📊 MONITOR (Lean),📊 A1 VENUE SOT LOSS: Fav (12.0) > Dog (10.0) across last 3 venue matches (-15) | ⚖️  A2 OPP STRENGTH: Equal quality (Dog opp: 1.27 | Fav opp: 1.27) — no adjustment | 🏹 A3 CONSISTENCY BONUS: Dog scored in all 3/3 venue matches (100%) (+15) | 🤝 B2 H2H SOT WIN: Dog (3.0) > Fav (2.0) in last H2H (+10) | 🏃 B4 VENUE TRACK MEET: Combined venue avg goals 3.00 > 2.5 — open game expected (+10) | 🚩 C3 TERRITORIAL: Dog won corners in 2/3 venue matches (+8)
Palestino vs Deportivo Riestra,Palestino,⚔️ ACTIVE,Dog: 55.89% | Fav: 32.97%,16.0,8.0,1.0,1.0,1.27,1.2,33.3% (1/3),15,📊 MONITOR (Lean),"📊 A1 VENUE SOT WIN: Dog (16.0) > Fav (8.0) across last 3 venue matches (+20) | ⚖️  A2 OPP STRENGTH: Dog faced weaker opponents (Dog opp conceded avg: 1.27 > Fav opp: 1.2) → Dog venue SOT softly discounted (-10) | 🏹 A3 CONSISTENCY PENALTY: Dog scored in only 1/3 venue matches (33.3%) (-15) | 🤝 B2 H2H SOT TIED: Dog (1.0) = Fav (1.0) — no points | 💎 C1 FALSE FAVORITE: Dog Spear 55.89% > Fav 32.97% & better overall defense (+15) | 🚩 C3 TERRITORIAL: Dog won corners in 2/3 venue matches (+8) | ⚠️  TIER C CAP APPLIED [Tier C capped at +20, raw: +23]"
Corinthians W vs Mixto W,Mixto W,❌ WEAK (NEUTRALIZED),Dog: 39.64% | Fav: 99.19%,8.0,21.0,N/A,N/A,1.07,1.07,33.3% (1/3),-20,🛑 PASS (Insufficient Evidence),📊 A1 VENUE SOT LOSS: Fav (21.0) > Dog (8.0) across last 3 venue matches (-15) | ⚖️  A2 OPP STRENGTH: Equal quality (Dog opp: 1.07 | Fav opp: 1.07) — no adjustment | 🏹 A3 CONSISTENCY PENALTY: Dog scored in only 1/3 venue matches (33.3%) (-15) | ⚪ B2 H2H SOT: No H2H data available — skipped | 🏃 B4 VENUE TRACK MEET: Combined venue avg goals 3.66 > 2.5 — open game expected (+10)
