fixture_id,league_id,Fixture,Score,DNA_Intelligence,Poisson%,H2H_GG,DNA_Insight,Ranks,Forensic_Audit
19692697,1116,Grêmio vs Montevideo City Torque,5/6,⚖️ BALANCED,72.17,0/5,Standard Tactical Matchup,2v1,✅Form ✅PosGap(1) ✅Parity ✅Active ✅Math(72%)
19692703,1116,São Paulo vs Boston River,5/6,🔥 ADVANTAGE,60.42,0/5,Elite Attacking Intent: Box entries guaranteed,1v4,✅Form ✅PosGap(3) ✅Parity ✅Active ✅Math(60%)
19692702,1116,Millonarios vs O'Higgins,4/6,🔥 ADVANTAGE,58.33,0/5,Elite Attacking Intent: Box entries guaranteed,2v3,✅PosGap(1) ✅Parity ✅Active ✅Math(58%)
19701367,1082,Nigeria vs Zimbabwe,3/6,🔥 ADVANTAGE,68.51,2/5,Elite Attacking Intent: Box entries guaranteed,99v99,✅Parity ✅Active ✅Math(68%)
19693448,1122,LDU Quito vs Always Ready,3/6,⚖️ BALANCED,50.45,2/5,Standard Tactical Matchup,2v4,✅PosGap(2) ✅Parity ✅Active
19692696,1116,Palestino vs Deportivo Riestra,3/6,⚖️ BALANCED,47.62,0/5,Standard Tactical Matchup,4v3,✅PosGap(1) ✅Parity ✅Active
19693447,1122,Lanús vs Mirassol,3/6,🔥 ADVANTAGE,13.66,0/5,Elite Attacking Intent: Box entries guaranteed,3v1,✅PosGap(2) ✅Parity ✅Active
19708446,1082,Morocco vs Burundi,2/6,🔥 ADVANTAGE,82.74,0/5,Elite Attacking Intent: Box entries guaranteed,99v99,✅Active ✅Math(82%)
19664106,696,Aucas vs Manta,2/6,⚠️ TACTICAL TRAP,36.01,3/5,Possession Controller will slow game down,4v16,✅Parity ✅H2H
19665111,1631,Corinthians W vs Mixto W,2/6,🔥 ADVANTAGE,30.52,1/5,Elite Attacking Intent: Box entries guaranteed,1v15,✅Form ✅Active
19705052,1673,Saint-Étienne vs Nice,0/6,⚖️ BALANCED,31.53,2/5,Standard Tactical Matchup,99v99,
