fixture_id,fixture,league,underdog_team,dog_odds,dog_score_prob,parity_gap,dog_att_strength,fav_def_weakness,dog_is_hot,dog_due_goal,both_no_draw_3,fav_vulnerability_5,fav_cs_streak,h2h_dog_gs_last_5,dog_venue_wins
19692702,Millonarios vs O'Higgins,Copa Sudamericana,O'Higgins,5.22,77.1%,7,1.19,0.59,False,True,False,3/5,0,2,2
19705052,Saint-Étienne vs Nice,Ligue 1 Play-offs,Saint-Étienne,2.8,71.67%,11,1.56,0.96,True,False,False,4/5,0,2,4
19692697,Grêmio vs Montevideo City Torque,Copa Sudamericana,Montevideo City Torque,6.5,60.97%,3,1.26,0.52,True,False,False,3/5,0,1,2
19693447,Lanús vs Mirassol,Copa Libertadores,Mirassol,5.2,58.74%,14,0.96,0.59,False,False,True,3/5,0,1,2
19693448,LDU Quito vs Always Ready,Copa Libertadores,Always Ready,8.61,54.18%,-1,0.52,0.44,True,False,False,4/5,0,5,0
19664106,Aucas vs Manta,Liga Pro,Manta,8.49,48.47%,-9,0.3,0.81,False,False,False,3/5,0,3,1
19665111,Corinthians W vs Mixto W,Brasileiro Women,Mixto W,32.78,47.7%,-7,0.3,0.74,False,False,False,3/5,0,1,0
19692703,São Paulo vs Boston River,Copa Sudamericana,Boston River,7.74,46.32%,10,0.89,1.04,True,False,False,5/5,0,0,0
19701367,Nigeria vs Zimbabwe,Friendly International,Zimbabwe,6.21,45.93%,-5,1.19,0.52,True,False,False,3/5,0,2,2
19708446,Morocco vs Burundi,Friendly International,Burundi,12.0,25.64%,7,1.19,0.37,True,False,False,2/5,0,0,2
19692696,Palestino vs Deportivo Riestra,Copa Sudamericana,Deportivo Riestra,3.08,18.13%,1,0.44,0.67,False,False,False,4/5,0,0,0
